	sample08	sample21	sample17	sample22	sample15	sample12	sample13	sample14	sample16	sample57	sample61	sample62	sample63	sample59	sample69	sample65	sample66	sample68	sample75	sample70	sample55	sample72	sample73	sample74	sample76	sample78	sample83	sample24	sample25	sample27	sample29	sample36	sample18	sample23	sample20	sample26	sample28	sample19	sample33	sample37	sample38	sample39	sample30	sample34	sample31	sample32	sample84	sample81	sample85	sample82	sample87	sample80	sample90	sample46	sample93	sample40	sample03	sample35	sample41	sample42	sample05	sample01	sample02	sample50	sample07	sample04	sample91	sample06	sample45	sample43	sample09	sample10	sample49	sample54	sample53	sample79	sample52	sample11
Sex	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Root;Other	0.0	0.0	0.0	0.0	0.0	0.0	9.89413277926e-05	0.00433369447454	0.0	0.0	0.0	0.0	0.000407996736026	0.0	0.0	0.0	0.0	0.0019524520500699997	0.0	0.0	0.0	0.0	0.0	0.0	0.000723589001447	0.0	0.0	0.00129091747349	0.00022168033695400003	0.0	0.0	0.000535403560434	0.0	0.000132222662964	0.0	0.0	0.0	0.000279537830786	0.000227376080036	0.000172920629431	0.0	0.000620578379049	0.0	0.00436398900921	0.00016498927569700002	0.000125093820365	0.0	0.0	0.0	0.0	0.0	0.00044355732978500006	0.0	0.0	0.0	0.0	0.0008716875871689998	0.0	0.00022246941045599996	0.0	0.000226090888537	0.0	0.0	0.0	0.00123021405725	0.0	0.00016257519102599998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016534391534399998	0.0	0.0	0.0
Root;p__Actinobacteria	0.841759844434	0.595207667732	0.526008583691	0.618260527351	0.195328231977	0.460200086994	0.7863856732960001	0.661565547129	0.8289202908490001	0.5762376237619999	0.548131684956	0.591979831403	0.359853121175	0.0883790898834	0.484269662921	0.35266604303099996	0.211782094595	0.681405765476	0.364812217547	0.698852249954	0.8474065706489999	0.7789643675769999	0.67365835223	0.8626718723479999	0.5335262904	0.45357028498199997	0.776847043056	0.662517289073	0.724007980492	0.624384095336	0.226212513884	0.548922500335	0.7191163210100001	0.7335713341269999	0.48700495049500003	0.442501922584	0.619571683522	0.392564293701	0.594929513415	0.346619401695	0.85795730228	0.463820280501	0.36591771228500003	0.24098917084199997	0.540834845735	0.61996497373	0.585426510818	0.577477084243	0.889323897003	0.26817116061	0.627589246364	0.7485029940119999	0.6526753639630001	0.431498240322	0.7507820646510001	0.6740139211139999	0.635227801023	0.474309815951	0.6370040786060001	0.584515859766	0.7836310196699999	0.801677148847	0.706508462746	0.679904875149	0.835807430493	0.287958508719	0.6322549179	0.0470937632584	0.536370438108	0.434818905728	0.6190590494479999	0.8148499810100001	0.6353077816489999	0.60654725139	0.640376984127	0.8277310924369999	0.677936595199	0.231316725979
Root;p__Bacteroidetes	0.00737319721277	0.007827476038340001	0.018025751073	0.0003935458480909999	0.08256141764	0.0150065245759	0.00375977045612	0.0112405200433	0.00754561668267	0.0	0.0016668981803	0.0116599700622	0.0140078879369	0.005265137269649999	0.022471910112400004	0.00374181478017	0.027660472973000002	0.00126335132652	0.005765934237180001	0.0038258334851500003	0.0017885719664899999	0.00453219420713	0.000188964474679	0.0011882532677	0.00747708634829	0.00768491834774	0.00184285474954	0.00442600276625	0.04477942806469999	0.0	0.0037023324694600004	0.00562173738455	0.00135256988278	0.00436334787783	0.00897277227723	0.0032299410407600005	0.0104104699584	0.05003727171080001	0.0202364711232	0.04253847484	0.00946142649199	0.00421993297754	0.44178581850000004	0.0113140455794	0.0100643458175	0.00487865899425	0.00513968332919	0.0021824530772600005	0.00075289865984	0.0102579132474	0.046716615249	0.012863162563799999	0.000945358290792	0.009929612870790002	0.00182481751825	0.00480609877362	0.00151092515109	0.09263803680980001	0.00296625880608	0.0485183639399	0.01853945286	0.000279524807827	0.0157040656081	0.0061038446294100004	0.00959566964652	0.00992182802165	0.00357665420257	0.00692971291189	0.00440601878793	0.00475211918829	0.0069611137782	0.005886821116600001	0.000464576074332	0.012970969734399998	0.00710978835979	0.000840336134454	0.0087960417812	0.0113605255954
Root;p__Cyanobacteria	8.10241451953e-05	0.000798722044728	0.0	0.0003935458480909999	0.000402738622634	0.012070465419700001	0.000494706638963	0.000677139761647	0.0030182466730700004	0.0	0.000277816363384	0.00220594028205	0.015775873793	0.050959007145499995	0.0	0.0	0.00021114864864900002	0.0	0.0	0.00091091273456	0.015155794031799999	0.0	0.016250944822400002	0.0052622644712299995	0.00988904968644	0.0160102465578	0.0	0.015214384509000001	0.0	0.000114586914174	0.0032086881401899997	0.000401552670325	0.00045085662759199993	0.0	0.0250618811881	0.0	0.0	0.0011181513231500002	0.0005684402000909999	0.00025938094414700003	0.0009704027171280001	0.00024823135162	0.0	0.0009697753353810001	0.0143540669856	0.000125093820365	8.28981182127e-05	0.0	0.0	0.00791324736225	0.0	0.000665335994677	0.000756286632634	0.0	0.0	0.000414318859794	0.00290562529056	0.0006901840490800001	0.006377456433069999	0.000626043405676	0.0	0.000279524807827	0.00034897923573500006	0.0	0.00180431395063	0.000601322910403	0.114940660055	0.0004242681374630001	0.000249397289883	0.000128435653737	0.00120019203072	0.00037979491074800005	0.0	0.0	0.0	0.0	0.014843320505800001	0.00191623323296
Root;p__Firmicutes	0.145681413061	0.27587859424899996	0.283433476395	0.379771743408	0.505034232783	0.404741191823	0.151182348867	0.31338028169	0.14775689395	0.33267326732700003	0.106959299903	0.370755534547	0.132190942472	0.822301617149	0.389887640449	0.09247627956700001	0.239864864865	0.137475594349	0.11656537322699999	0.28292949535399997	0.09140544102420001	0.15847051469100001	0.293839758125	0.123917840774	0.386637723107	0.364553314121	0.219299715195	0.24306131858000002	0.206384393704	0.30869714678599997	0.599407626805	0.371168518271	0.27209197475200003	0.24738860240600002	0.431930693069	0.228454242502	0.3001189768	0.386600819978	0.24306502955899997	0.5166868407399999	0.12166424065999999	0.423730917215	0.173767143274	0.40552771941200005	0.411978221416	0.149612209157	0.193235513554	0.412920122217	0.10405059479	0.6755568581479999	0.21198765976199999	0.220891550233	0.34089619965999995	0.510809451986	0.23748696558899998	0.26690420948000004	0.353033472803	0.262116564417	0.347942157953	0.322516694491	0.17160298440000002	0.160447239693	0.223521200489	0.291161315894	0.126712047896	0.6964822609739999	0.19931718419799999	0.17451562721	0.444592235431	0.0339070125867	0.35405664906400003	0.155905810862	0.105458768873	0.25200741198300003	0.34275793650799996	0.14621848739499999	0.247571925967	0.618943334246
Root;p__Fusobacteria	8.10241451953e-05	0.0020766773162899997	0.0006866952789700001	0.0	0.0	0.00217485863419	0.000494706638963	0.0008125677139760001	0.00013719303059399996	0.0	0.0	0.0033089104230700004	0.00407996736026	0.000376081233546	0.00449438202247	0.0	0.0	0.00017227518088900004	0.00031167212092900003	0.000182182546912	0.00037654146662899996	0.00171910814753	0.0	0.00033950093362800006	0.00168837433671	0.000480307396734	0.00016753224995799998	0.000645458736745	0.0	0.0	0.00172775515241	0.00107080712087	0.000676284941389	0.000396667988893	0.0009282178217819999	0.000256344527044	0.00327186198691	0.0171449869549	0.0036380172805799997	0.00043230157357800004	0.0019408054342599998	0.00024823135162	0.0	0.00193955067076	0.0011549249298800001	0.000125093820365	0.00033159247285099997	0.0	0.000150579731968	0.0029308323563899995	0.000440722785368	0.00133067198935	0.000756286632634	0.0032679738562100004	0.000260688216893	8.28637719589e-05	0.00011622501162299999	0.00475460122699	0.0005932517612159999	0.00146076794658	0.0036174542166	0.0	0.0062816262432399995	0.00039635354736400005	0.000574099893381	7.51653638004e-05	0.00048772557307800004	0.000282845424975	0.00166264859922	0.00109170305677	0.0	0.0	0.000116144018583	0.0	0.0	0.0	0.0009162543522080001	0.0
Root;p__Proteobacteria	0.00502349700211	0.11741214057499999	0.170815450644	0.00118063754427	0.208215867902	0.104393214441	0.057385970119699994	0.0069068255688	0.012621758814700002	0.0910891089109	0.34296430059699995	0.0195383282124	0.47110023119800004	0.0327190673185	0.09887640449439998	0.551115862622	0.520481418919	0.177558286436	0.512544802867	0.0132993259246	0.0437729454956	0.056313815378199995	0.0160619803477	0.00662026820574	0.059575494452499995	0.15722062119799998	0.00184285474954	0.0728446288612	0.00931057415207	0.0666895840495	0.16524743922000001	0.0722794806585	0.00631199278629	0.014147824937200001	0.0461014851485	0.325557549346	0.0666270077335	0.151416325009	0.13699408822200002	0.0917343939132	0.007520621057739999	0.107111828224	0.0166326232857	0.334895749151	0.0207886487378	0.225043782837	0.21503771864399998	0.00742034046268	0.005722029814789999	0.035169988276699995	0.112825033054	0.0153027278776	0.00397050482133	0.0443690296631	0.008863399374350002	0.053778588001300004	0.0062761506276200005	0.162576687117	0.0045977011494300005	0.0421535893155	0.022382997965199998	0.037037037037	0.046588727970699996	0.022433610780799997	0.0235380956286	0.00466025255562	0.0489351324988	0.770470937633	0.012719261784000001	0.525237605959	0.0181829092655	0.022977592100299996	0.258652729384	0.128474366893	0.00958994708995	0.0252100840336	0.04865310610230001	0.135778811935
Root;p__Tenericutes	0.0	0.000159744408946	0.00103004291845	0.0	0.0012082158679000002	0.0007612005219660001	0.000197882655585	0.000677139761647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.41353666573e-05	0.0	0.0	0.0	0.000482392667631	0.0	0.0	0.0	0.000665041010862	0.0	0.000493644329261	0.0	0.0	0.0	0.0	0.0	0.0	0.00018635855385799998	0.0	0.00146982535016	0.000363901018923	0.0	0.0018967026553800002	0.0	0.00032997855139400004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.81125058113e-05	0.0	0.00014831294030399997	0.000208681135225	0.0	0.0	0.0010469377072100002	0.0	0.000246042811449	0.00015033072760100002	0.0	0.000282845424975	0.0	0.0	0.000540086413826	0.0	0.0	0.0	0.0	0.0	0.0	0.0006843690117710001
Root;p__Thermi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000135427952329	0.0	0.0	0.0	0.000551485070511	0.00258397932817	0.0	0.0	0.0	0.0	0.00017227518088900004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014630902239000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.64603147155e-05	0.00012130033964100001	0.0	0.0	0.0	0.0	0.0	0.00024869435463799994	0.0	0.0	0.0	0.000440722785368	0.0	0.0	0.000125691302162	0.000782064650678	0.0	0.0	7.66871165644e-05	7.415647015199999e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.42178268687e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
